"ID","NVNUMERO","NVESTADO","FECHA_NV","FECHA_ENTREGA","CONCAUTO","CODPROD","NVCANT","CANT_FACT","DIF_FACT","NVPRECIO","DETPROD","NOMAUX","CODPROC","PROCESO","DESCPROC","TIEMPO","CANTPROD"
25,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P027,PEGADO,PROCESO DE PEGADO BIN,45,720
26,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P064,OTRO,PROCESO DE DIMENSIONADO GRANDE,40,850
27,13550,A,"2025-02-05","2025-02-21",N,EMP117009700350D94,2000,1496,504,4949.00,BIN 1170*970*350 D94 B2 TRO.,SYNERGIABIO BIOTECNOS LTDA ,P090,OTRO,PROCESO DESGAJADO GRANDE,55,550
28,13550,A,"2025-02-05","2025-02-21",N,TRO212003500007D94,2000,1496,504,2552.00,REFUERZO 2120*350 D94 SEP TRO 2 PLIZ.,SYNERGIABIO BIOTECNOS LTDA ,P033,TROQUELADO,PROCESO EMBALADO TROQUELADO,3,10800
29,13577,A,"2025-02-19","2025-03-28",N,TRO047004700201C32,60,0,60,3280.00,TAPA 470*470*200 C32 TRO-,TEAM FOODS CHILE SPA ,"",OTRO,"",0,0
30,13577,A,"2025-02-19","2025-03-28",N,TRO141513150120C30,30,0,30,3203.00,FONDO 445*445*120 C30 TRO OCTO1000,TEAM FOODS CHILE SPA ,P018,TROZADO,PROCESO DE TROZADO,45,750
31,13577,A,"2025-02-19","2025-03-28",N,TRO141513150120C30,30,0,30,3203.00,FONDO 445*445*120 C30 TRO OCTO1000,TEAM FOODS CHILE SPA ,P020,OTRO,PROCESO EMBALADO BIN,30,1080
32,13577,A,"2025-02-19","2025-03-28",N,TRO141513150120C30,30,0,30,3203.00,FONDO 445*445*120 C30 TRO OCTO1000,TEAM FOODS CHILE SPA ,P023,TROQUELADO,PROCESO TROQUELADO GRANDE,39,830
33,13577,A,"2025-02-19","2025-03-28",N,EMP093009301025D99,30,0,30,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P024,OTRO,PROCESO DE PRENSADO,60,1520
34,13577,A,"2025-02-19","2025-03-28",N,EMP093009301025D99,30,0,30,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P025,OTRO,PROCESO DE DOBLADO,90,360
35,13577,A,"2025-02-19","2025-03-28",N,EMP093009301025D99,30,0,30,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P026,EMPLACADO,PROCESO DE EMPLACADO E3,73,450
36,13577,A,"2025-02-19","2025-03-28",N,EMP093009301025D99,30,0,30,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P027,PEGADO,PROCESO DE PEGADO BIN,45,720
37,13577,A,"2025-02-19","2025-03-28",N,EMP093009301025D99,30,0,30,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P038,IMPRESION,PROCESO IMPRESION 4,240,150
38,13577,A,"2025-02-19","2025-03-28",N,EMP093009301025D99,30,0,30,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P064,OTRO,PROCESO DE DIMENSIONADO GRANDE,40,850
39,13579,A,"2025-02-20","2025-04-24",N,CAJ118506420200C20,300,0,300,2622.00,TAPA EMBALAJE 1185*642*200 C20,MIMET S.A. ,P001,PLIZADO,PROCESO DE PLIZADO NORMAL ,30,1100
40,13579,A,"2025-02-20","2025-04-24",N,CAJ118506420200C20,300,0,300,2622.00,TAPA EMBALAJE 1185*642*200 C20,MIMET S.A. ,P003,CALADO,PROCESO CALADO NORMAL,30,1080
41,13579,A,"2025-02-20","2025-04-24",N,CAJ118506420200C20,300,0,300,2622.00,TAPA EMBALAJE 1185*642*200 C20,MIMET S.A. ,P021,OTRO,PROCESO EMBALADO CAJAS,20,1620
42,13580,A,"2025-02-20","2025-05-02",N,CAJ076506420235C20,1000,0,1000,1980.00,TAPA 765*642*235 C20 FO.,MIMET S.A. ,P001,PLIZADO,PROCESO DE PLIZADO NORMAL ,30,1100
43,13580,A,"2025-02-20","2025-05-02",N,CAJ076506420235C20,1000,0,1000,1980.00,TAPA 765*642*235 C20 FO.,MIMET S.A. ,P003,CALADO,PROCESO CALADO NORMAL,30,1080
44,13580,A,"2025-02-20","2025-05-02",N,CAJ076506420235C20,1000,0,1000,1980.00,TAPA 765*642*235 C20 FO.,MIMET S.A. ,P004,CALADO,PROCESO CALADO BIPARTIDAS,46,710
45,13580,A,"2025-02-20","2025-05-02",N,CAJ076506420235C20,1000,0,1000,1980.00,TAPA 765*642*235 C20 FO.,MIMET S.A. ,P021,OTRO,PROCESO EMBALADO CAJAS,20,1620
46,13580,A,"2025-02-20","2025-05-02",N,CAJ174506420225C20,100,0,100,3972.00,TAPA 1745*642*225 C20 FO.,MIMET S.A. ,P018,TROZADO,PROCESO DE TROZADO,45,750
47,13581,A,"2025-02-20","2025-05-28",N,CAJ102406420225C20,1000,0,1000,2707.00,TAPA 1024*642*225 C20 FO,MIMET S.A. ,P001,PLIZADO,PROCESO DE PLIZADO NORMAL ,30,1100
48,13581,A,"2025-02-20","2025-05-28",N,CAJ102406420225C20,1000,0,1000,2707.00,TAPA 1024*642*225 C20 FO,MIMET S.A. ,P004,CALADO,PROCESO CALADO BIPARTIDAS,46,710
49,13581,A,"2025-02-20","2025-05-28",N,CAJ102406420225C20,1000,0,1000,2707.00,TAPA 1024*642*225 C20 FO,MIMET S.A. ,P018,TROZADO,PROCESO DE TROZADO,45,750
50,13581,A,"2025-02-20","2025-05-28",N,CAJ102406420225C20,1000,0,1000,2707.00,TAPA 1024*642*225 C20 FO,MIMET S.A. ,P021,OTRO,PROCESO EMBALADO CAJAS,20,1620
51,13585,A,"2025-02-24","2025-03-21",N,REL1100003537.510E,2000,0,2000,1525.00,RELLENO 110C35 37.5 10E CELDA 186,TRANSFORMADORA DE MADERA S.A.I. ,P007,OTRO,PROCESO AMARRADO,10,3250
52,13585,A,"2025-02-24","2025-03-21",N,REL1100003537.510E,2000,0,2000,1525.00,RELLENO 110C35 37.5 10E CELDA 186,TRANSFORMADORA DE MADERA S.A.I. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
53,13585,A,"2025-02-24","2025-03-21",N,REL1100003537.510E,2000,0,2000,1525.00,RELLENO 110C35 37.5 10E CELDA 186,TRANSFORMADORA DE MADERA S.A.I. ,P014,ENCOLADO,PROCESO DE ENCOLADO 35,8,4050
54,13585,A,"2025-02-24","2025-03-21",N,REL1100003537.510E,2000,0,2000,1525.00,RELLENO 110C35 37.5 10E CELDA 186,TRANSFORMADORA DE MADERA S.A.I. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
55,13586,A,"2025-02-24","2025-03-28",N,REL0950002137.509B,500,0,500,882.00,RELLENO 95C21 37.5 09B CELDA 287,SALGADO PUERTAS SPA ,P009,ENCOLADO,PROCESO DE ENCOLADO 21,6,5400
56,13586,A,"2025-02-24","2025-03-28",N,REL0950002137.509B,500,0,500,882.00,RELLENO 95C21 37.5 09B CELDA 287,SALGADO PUERTAS SPA ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
57,13586,A,"2025-02-24","2025-03-28",N,REL0950002137.509B,500,0,500,882.00,RELLENO 95C21 37.5 09B CELDA 287,SALGADO PUERTAS SPA ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
58,13590,A,"2025-02-26","2025-03-28",N,REL11000030003410E,300,0,300,1106.00,RELLENO 110C30 34.0 10E CELDA 239,COMERCIALIZADORA DE PRODUCTOS DE MADERA SP SPA ,P007,OTRO,PROCESO AMARRADO,10,3250
59,13590,A,"2025-02-26","2025-03-28",N,REL11000030003410E,300,0,300,1106.00,RELLENO 110C30 34.0 10E CELDA 239,COMERCIALIZADORA DE PRODUCTOS DE MADERA SP SPA ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
60,13590,A,"2025-02-26","2025-03-28",N,REL11000030003410E,300,0,300,1106.00,RELLENO 110C30 34.0 10E CELDA 239,COMERCIALIZADORA DE PRODUCTOS DE MADERA SP SPA ,P013,ENCOLADO,PROCESO DE ENCOLADO 30,7,4630
61,13590,A,"2025-02-26","2025-03-28",N,REL11000030003410E,300,0,300,1106.00,RELLENO 110C30 34.0 10E CELDA 239,COMERCIALIZADORA DE PRODUCTOS DE MADERA SP SPA ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
62,13590,A,"2025-02-26","2025-03-28",N,REL09500027003709B,1000,0,1000,849.00,RELLENO 95C27 37.0 09B CELDA 249,COMERCIALIZADORA DE PRODUCTOS DE MADERA SP SPA ,P032,ENCOLADO,PROCESO ENCOLADO 27,5,6480
63,13590,A,"2025-02-26","2025-03-28",N,REL09500027003709B,1000,0,1000,849.00,RELLENO 95C27 37.0 09B CELDA 249,COMERCIALIZADORA DE PRODUCTOS DE MADERA SP SPA ,P043,OTRO,PROCESO PRENSADO MANUAL,5,6500
64,13594,A,"2025-03-03","2025-03-21",N,REL09500030003310E,300,0,300,1048.00,RELLENO 95C30 33.0 10E CELDA 240,SOC.INDUSTRIAL Y COMERCIAL SAN RAFAEL SPA ,P007,OTRO,PROCESO AMARRADO,10,3250
65,13594,A,"2025-03-03","2025-03-21",N,REL09500030003310E,300,0,300,1048.00,RELLENO 95C30 33.0 10E CELDA 240,SOC.INDUSTRIAL Y COMERCIAL SAN RAFAEL SPA ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
66,13594,A,"2025-03-03","2025-03-21",N,REL09500030003310E,300,0,300,1048.00,RELLENO 95C30 33.0 10E CELDA 240,SOC.INDUSTRIAL Y COMERCIAL SAN RAFAEL SPA ,P013,ENCOLADO,PROCESO DE ENCOLADO 30,7,4630
67,13594,A,"2025-03-03","2025-03-21",N,REL09500030003310E,300,0,300,1048.00,RELLENO 95C30 33.0 10E CELDA 240,SOC.INDUSTRIAL Y COMERCIAL SAN RAFAEL SPA ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
68,13599,A,"2025-03-04","2025-04-07",N,REL0950003232.710E,600,0,600,1017.00,RELLENO 95C32 32.7 10E CELDA 201,NG MADERAS S.A. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
69,13599,A,"2025-03-04","2025-04-07",N,REL0950003232.710E,600,0,600,1017.00,RELLENO 95C32 32.7 10E CELDA 201,NG MADERAS S.A. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
70,13599,A,"2025-03-04","2025-04-07",N,REL0950003232.710E,600,0,600,1017.00,RELLENO 95C32 32.7 10E CELDA 201,NG MADERAS S.A. ,P076,ENCOLADO,PROCESO DE ENCOLADO 32,9,3600
71,13600,A,"2025-03-04","2025-04-23",N,REL0950003232.710E,600,0,600,1017.00,RELLENO 95C32 32.7 10E CELDA 201,NG MADERAS S.A. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
72,13600,A,"2025-03-04","2025-04-23",N,REL0950003232.710E,600,0,600,1017.00,RELLENO 95C32 32.7 10E CELDA 201,NG MADERAS S.A. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
73,13600,A,"2025-03-04","2025-04-23",N,REL0950003232.710E,600,0,600,1017.00,RELLENO 95C32 32.7 10E CELDA 201,NG MADERAS S.A. ,P076,ENCOLADO,PROCESO DE ENCOLADO 32,9,3600
74,13601,A,"2025-03-04","2025-03-28",N,TRO047004700201C32,120,0,120,3280.00,TAPA 470*470*200 C32 TRO-,TEAM FOODS CHILE SPA ,"",OTRO,"",0,0
75,13601,A,"2025-03-04","2025-03-28",N,TRO141513150120C30,60,0,60,3203.00,FONDO 445*445*120 C30 TRO OCTO1000,TEAM FOODS CHILE SPA ,P018,TROZADO,PROCESO DE TROZADO,45,750
76,13601,A,"2025-03-04","2025-03-28",N,TRO141513150120C30,60,0,60,3203.00,FONDO 445*445*120 C30 TRO OCTO1000,TEAM FOODS CHILE SPA ,P020,OTRO,PROCESO EMBALADO BIN,30,1080
77,13601,A,"2025-03-04","2025-03-28",N,TRO141513150120C30,60,0,60,3203.00,FONDO 445*445*120 C30 TRO OCTO1000,TEAM FOODS CHILE SPA ,P023,TROQUELADO,PROCESO TROQUELADO GRANDE,39,830
78,13601,A,"2025-03-04","2025-03-28",N,EMP093009301025D99,60,0,60,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P024,OTRO,PROCESO DE PRENSADO,60,1520
79,13601,A,"2025-03-04","2025-03-28",N,EMP093009301025D99,60,0,60,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P025,OTRO,PROCESO DE DOBLADO,90,360
80,13601,A,"2025-03-04","2025-03-28",N,EMP093009301025D99,60,0,60,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P026,EMPLACADO,PROCESO DE EMPLACADO E3,73,450
81,13601,A,"2025-03-04","2025-03-28",N,EMP093009301025D99,60,0,60,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P027,PEGADO,PROCESO DE PEGADO BIN,45,720
82,13601,A,"2025-03-04","2025-03-28",N,EMP093009301025D99,60,0,60,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P038,IMPRESION,PROCESO IMPRESION 4,240,150
83,13601,A,"2025-03-04","2025-03-28",N,EMP093009301025D99,60,0,60,39418.00,BIN 465*465*465*1025 D99 O3 OCTO1000.,TEAM FOODS CHILE SPA ,P064,OTRO,PROCESO DE DIMENSIONADO GRANDE,40,850
84,13603,A,"2025-03-05","2025-03-28",N,CAJ023002300235D92,500,0,500,1397.00,CAJA 230*230*235 D92 NO,MASTER DG ,P001,PLIZADO,PROCESO DE PLIZADO NORMAL ,30,1100
85,13603,A,"2025-03-05","2025-03-28",N,CAJ023002300235D92,500,0,500,1397.00,CAJA 230*230*235 D92 NO,MASTER DG ,P006,PEGADO,PROCESO PEGADO NORMAL,60,540
86,13603,A,"2025-03-05","2025-03-28",N,CAJ023002300235D92,500,0,500,1397.00,CAJA 230*230*235 D92 NO,MASTER DG ,P018,TROZADO,PROCESO DE TROZADO,45,750
87,13603,A,"2025-03-05","2025-03-28",N,CAJ023002300235D92,500,0,500,1397.00,CAJA 230*230*235 D92 NO,MASTER DG ,P021,OTRO,PROCESO EMBALADO CAJAS,20,1620
88,13603,A,"2025-03-05","2025-03-28",N,CAJ023002300235D92,500,0,500,1397.00,CAJA 230*230*235 D92 NO,MASTER DG ,P051,OTRO,PROCESO DE AJUSTE 100,1,1
89,13605,A,"2025-03-05","2025-03-28",N,REL1100002532.509B,400,0,400,900.00,RELLENO 110C25 32.5 09B CELDA 249,INDUSTRIAS OPENCLOSE LIMITADA ,P007,OTRO,PROCESO AMARRADO,10,3250
90,13605,A,"2025-03-05","2025-03-28",N,REL1100002532.509B,400,0,400,900.00,RELLENO 110C25 32.5 09B CELDA 249,INDUSTRIAS OPENCLOSE LIMITADA ,P008,ENCOLADO,PROCESO DE ENCOLADO 25,6,5400
91,13605,A,"2025-03-05","2025-03-28",N,REL1100002532.509B,400,0,400,900.00,RELLENO 110C25 32.5 09B CELDA 249,INDUSTRIAS OPENCLOSE LIMITADA ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
92,13605,A,"2025-03-05","2025-03-28",N,REL1100002532.509B,400,0,400,900.00,RELLENO 110C25 32.5 09B CELDA 249,INDUSTRIAS OPENCLOSE LIMITADA ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
93,13605,A,"2025-03-05","2025-03-28",N,REL1100002532.509B,400,0,400,900.00,RELLENO 110C25 32.5 09B CELDA 249,INDUSTRIAS OPENCLOSE LIMITADA ,P024,OTRO,PROCESO DE PRENSADO,60,1520
94,13605,A,"2025-03-05","2025-03-28",N,REL1100002737.509B,400,0,400,1122.00,RELLENO 110C27 37.5 09B CELDA 223.,INDUSTRIAS OPENCLOSE LIMITADA ,P032,ENCOLADO,PROCESO ENCOLADO 27,5,6480
95,13605,A,"2025-03-05","2025-03-28",N,REL1100002737.509B,400,0,400,1122.00,RELLENO 110C27 37.5 09B CELDA 223.,INDUSTRIAS OPENCLOSE LIMITADA ,P043,OTRO,PROCESO PRENSADO MANUAL,5,6500
96,13608,A,"2025-03-05","2025-03-28",N,REL0950002139.709B,2500,0,2500,760.00,RELLENO 95C21 39.7 09B CELDA 287,FABRICA DE PUERTAS Y MOLDURAS MOLDECOR LTDA. ,P009,ENCOLADO,PROCESO DE ENCOLADO 21,6,5400
97,13608,A,"2025-03-05","2025-03-28",N,REL0950002139.709B,2500,0,2500,760.00,RELLENO 95C21 39.7 09B CELDA 287,FABRICA DE PUERTAS Y MOLDURAS MOLDECOR LTDA. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
98,13608,A,"2025-03-05","2025-03-28",N,REL0950002139.709B,2500,0,2500,760.00,RELLENO 95C21 39.7 09B CELDA 287,FABRICA DE PUERTAS Y MOLDURAS MOLDECOR LTDA. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
99,13609,A,"2025-03-05","2025-04-04",N,REL1100002139.709B,2500,0,2500,880.00,RELLENO 110C21 A 39.7 09B CELDA 291,FABRICA DE PUERTAS Y MOLDURAS MOLDECOR LTDA. ,P009,ENCOLADO,PROCESO DE ENCOLADO 21,6,5400
100,13609,A,"2025-03-05","2025-04-04",N,REL1100002139.709B,2500,0,2500,880.00,RELLENO 110C21 A 39.7 09B CELDA 291,FABRICA DE PUERTAS Y MOLDURAS MOLDECOR LTDA. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
101,13609,A,"2025-03-05","2025-04-04",N,REL1100002139.709B,2500,0,2500,880.00,RELLENO 110C21 A 39.7 09B CELDA 291,FABRICA DE PUERTAS Y MOLDURAS MOLDECOR LTDA. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
102,13609,A,"2025-03-05","2025-04-04",N,REL1100002139.709B,2500,0,2500,880.00,RELLENO 110C21 A 39.7 09B CELDA 291,FABRICA DE PUERTAS Y MOLDURAS MOLDECOR LTDA. ,P043,OTRO,PROCESO PRENSADO MANUAL,5,6500
103,13610,A,"2025-03-05","2025-04-11",N,REL0950001837.509B,3000,0,3000,641.00,"RELLENO 95C18 37,5 09B CELDA 287.",COMERCIAL MARVIC LTDA ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
104,13610,A,"2025-03-05","2025-04-11",N,REL0950001837.509B,3000,0,3000,641.00,"RELLENO 95C18 37,5 09B CELDA 287.",COMERCIAL MARVIC LTDA ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
105,13610,A,"2025-03-05","2025-04-11",N,REL0950001837.509B,3000,0,3000,641.00,"RELLENO 95C18 37,5 09B CELDA 287.",COMERCIAL MARVIC LTDA ,P082,ENCOLADO,PROCESO DE ENCOLADO 18,5,6400
106,13611,A,"2025-03-05","2025-03-27",N,REL1100002537.509B,1400,0,1400,986.00,RELLENO 110C25 37.5 09B CELDA 249,COMERCIAL IGAL LTDA. ,P007,OTRO,PROCESO AMARRADO,10,3250
107,13611,A,"2025-03-05","2025-03-27",N,REL1100002537.509B,1400,0,1400,986.00,RELLENO 110C25 37.5 09B CELDA 249,COMERCIAL IGAL LTDA. ,P008,ENCOLADO,PROCESO DE ENCOLADO 25,6,5400
108,13611,A,"2025-03-05","2025-03-27",N,REL1100002537.509B,1400,0,1400,986.00,RELLENO 110C25 37.5 09B CELDA 249,COMERCIAL IGAL LTDA. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
109,13611,A,"2025-03-05","2025-03-27",N,REL0950001839.509B,2000,0,2000,646.00,RELLENO 95C18 39.5 09B CELDA 287,COMERCIAL IGAL LTDA. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
110,13611,A,"2025-03-05","2025-03-27",N,REL0950001839.509B,2000,0,2000,646.00,RELLENO 95C18 39.5 09B CELDA 287,COMERCIAL IGAL LTDA. ,P082,ENCOLADO,PROCESO DE ENCOLADO 18,5,6400
111,13613,A,"2025-03-06","2025-04-25",N,REL09500021002809B,40000,0,40000,661.00,RELLENO 95C21 28.0 09B CELDA 287,DISTRIBUCIONES GLOBALES S.A. ,P009,ENCOLADO,PROCESO DE ENCOLADO 21,6,5400
112,13613,A,"2025-03-06","2025-04-25",N,REL09500021002809B,40000,0,40000,661.00,RELLENO 95C21 28.0 09B CELDA 287,DISTRIBUCIONES GLOBALES S.A. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
113,13613,A,"2025-03-06","2025-04-25",N,REL09500021002809B,40000,0,40000,661.00,RELLENO 95C21 28.0 09B CELDA 287,DISTRIBUCIONES GLOBALES S.A. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
114,13614,A,"2025-03-06","2025-03-28",N,REL1100002133.509B,300,0,300,835.00,RELLENO 110C21 33.5 09B CELDA 291,COM Y DISTRIBUIDORA TAKATA LTDA ,P007,OTRO,PROCESO AMARRADO,10,3250
115,13614,A,"2025-03-06","2025-03-28",N,REL1100002133.509B,300,0,300,835.00,RELLENO 110C21 33.5 09B CELDA 291,COM Y DISTRIBUIDORA TAKATA LTDA ,P009,ENCOLADO,PROCESO DE ENCOLADO 21,6,5400
116,13614,A,"2025-03-06","2025-03-28",N,REL1100002133.509B,300,0,300,835.00,RELLENO 110C21 33.5 09B CELDA 291,COM Y DISTRIBUIDORA TAKATA LTDA ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
117,13614,A,"2025-03-06","2025-03-28",N,REL1100002133.509B,300,0,300,835.00,RELLENO 110C21 33.5 09B CELDA 291,COM Y DISTRIBUIDORA TAKATA LTDA ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
118,13615,A,"2025-03-07","2025-04-04",N,CAJ01250067005709B,30000,0,30000,84.00,PROTECCION 125*67*57 09B DF TRO.,MAFOR S.A. ,P033,TROQUELADO,PROCESO EMBALADO TROQUELADO,3,10800
119,13615,A,"2025-03-07","2025-04-04",N,CAJ01250067005709B,30000,0,30000,84.00,PROTECCION 125*67*57 09B DF TRO.,MAFOR S.A. ,P044,PEGADO,PROCESO PEGADO ALETA CH,45,720
120,13615,A,"2025-03-07","2025-04-04",N,CAJ01250067005709B,30000,0,30000,84.00,PROTECCION 125*67*57 09B DF TRO.,MAFOR S.A. ,P049,TROQUELADO,PROCESO TROQUELADO MEDIO,8,4050
121,13615,A,"2025-03-07","2025-04-04",N,CAJ01250067005709B,30000,0,30000,84.00,PROTECCION 125*67*57 09B DF TRO.,MAFOR S.A. ,P085,TROZADO,PROCESO DE TROZADO PEQUEÑO,7,4600
122,13615,A,"2025-03-07","2025-04-04",N,CAJ01250067005709B,30000,0,30000,84.00,PROTECCION 125*67*57 09B DF TRO.,MAFOR S.A. ,P089,OTRO,PORCESO DESGAJADO MEDIANO,30,1100
123,13615,A,"2025-03-07","2025-04-04",N,CAJ01250067005709B,30000,0,30000,84.00,PROTECCION 125*67*57 09B DF TRO.,MAFOR S.A. ,P095,TROZADO,PROCESO TROZADO MEDIANO,25,50000
124,13617,A,"2025-03-07","2025-04-04",N,REL0950002139.509B,10000,0,10000,759.00,RELLENO 95C21 39.5 09B CELDA 287,MAFOR S.A. ,P009,ENCOLADO,PROCESO DE ENCOLADO 21,6,5400
125,13617,A,"2025-03-07","2025-04-04",N,REL0950002139.509B,10000,0,10000,759.00,RELLENO 95C21 39.5 09B CELDA 287,MAFOR S.A. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
126,13617,A,"2025-03-07","2025-04-04",N,REL0950002139.509B,10000,0,10000,759.00,RELLENO 95C21 39.5 09B CELDA 287,MAFOR S.A. ,P022,OTRO,PROCESO EMBALADO RELLENO,6,5400
127,13618,A,"2025-03-07","2025-03-27",N,REL1100002537.509B,1600,0,1600,986.00,RELLENO 110C25 37.5 09B CELDA 249,COMERCIAL IGAL LTDA. ,P007,OTRO,PROCESO AMARRADO,10,3250
128,13618,A,"2025-03-07","2025-03-27",N,REL1100002537.509B,1600,0,1600,986.00,RELLENO 110C25 37.5 09B CELDA 249,COMERCIAL IGAL LTDA. ,P008,ENCOLADO,PROCESO DE ENCOLADO 25,6,5400
129,13618,A,"2025-03-07","2025-03-27",N,REL1100002537.509B,1600,0,1600,986.00,RELLENO 110C25 37.5 09B CELDA 249,COMERCIAL IGAL LTDA. ,P011,MULTIPLE,PROCESO MULTIPLE ,10,3250
